source_label,listing_id,address,recommended_source,latitude,longitude,mapbox_tile_count,mapbox_contact_sheet
Cranbrook/Kimberley,10658951,9444 MOYIE SHORES ESTATES W Road,possible_bing_overhead_needs_verify,49.279867,-115.844255,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,20080409,1668 Tranquility Road,possible_bing_overhead_needs_verify,49.17838232,-115.21566051,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\1668-tranquility-road-20080409\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20078478,75 103RD Avenue,possible_bing_overhead_needs_verify,49.66412926,-115.96594646,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\75-103rd-avenue-20078478\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10682918,79 RIDGEMONT Drive,blocked_arcgis_no_imagery,49.50678948,-115.04909858,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\79-ridgemont-drive-10682918\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20020840,814 307TH Avenue,blocked_arcgis_no_imagery,49.63262572,-115.95415125,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\814-307th-avenue-20020840\mapbox_satellite_contact_sheet.jpg
Columbia Valley,10683812,958 COPPER POINT Way,blocked_arcgis_no_imagery,50.49811449,-115.98869562,9,data\alternate_contact_sheets\mapbox\columbia-valley\958-copper-point-way-10683812\mapbox_satellite_contact_sheet.jpg
Columbia Valley,10675551,1101 6TH Street,mls_ground_backyard_context_only,50.50835857,-116.03418661,9,data\alternate_contact_sheets\mapbox\columbia-valley\1101-6th-street-10675551\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10673089,112 FOREST CROWNE Crescent,blocked_arcgis_no_imagery,49.64230669,-115.97194226,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\112-forest-crowne-crescent-10673089\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10663121,1362 11TH Avenue,blocked_arcgis_no_imagery,49.51428168,-115.06449924,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\1362-11th-avenue-10663121\mapbox_satellite_contact_sheet.jpg
Columbia Valley,10683098,1440 CANTERBURY Close,mls_ground_backyard_context_only,50.50410789,-116.04469441,9,data\alternate_contact_sheets\mapbox\columbia-valley\1440-canterbury-close-10683098\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20077373,166 304th Avenue,blocked_arcgis_no_imagery,49.63976818,-115.96099598,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\166-304th-avenue-20077373\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10675368,201 1ST Avenue,blocked_arcgis_no_imagery,49.5003602,-115.06319881,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\201-1st-avenue-10675368\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10679212,2108 WHISKEY JACK Drive,mls_ground_backyard_context_only,49.75627637,-114.89581347,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\2108-whiskey-jack-drive-10679212\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10670943,22 COAL CREEK Road,blocked_arcgis_no_imagery,49.49862579,-115.06315522,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\22-coal-creek-road-10670943\mapbox_satellite_contact_sheet.jpg
