source_label,listing_id,address,recommended_source,latitude,longitude,mapbox_tile_count,mapbox_contact_sheet
Cranbrook/Kimberley,10680848,2400 34TH S Avenue,blocked_arcgis_no_imagery,49.48655061,-115.73283811,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\2400-34th-s-avenue-10680848\mapbox_satellite_contact_sheet.jpg
Columbia Valley,10677502,2537 LEDGEROCK Ridge,mls_ground_backyard_context_only,50.48067248,-116.0404858,9,data\alternate_contact_sheets\mapbox\columbia-valley\2537-ledgerock-ridge-10677502\mapbox_satellite_contact_sheet.jpg
Columbia Valley,10660407,2589 LEDGEROCK Court,blocked_arcgis_no_imagery,50.477448,-116.039254,9,data\alternate_contact_sheets\mapbox\columbia-valley\2589-ledgerock-court-10660407\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10676027,29 RIDGEMONT Drive,blocked_arcgis_no_imagery,49.50310644,-115.05460562,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\29-ridgemont-drive-10676027\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20073830,311 302nd Avenue,blocked_arcgis_no_imagery,49.63729303,-115.96292915,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\311-302nd-avenue-20073830\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20022685,405 7TH Avenue,blocked_arcgis_no_imagery,49.69351588,-115.9851582,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\405-7th-avenue-20022685\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20003058,4315 LAKEVIEW Drive,blocked_arcgis_no_imagery,49.48370376,-115.84817827,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\4315-lakeview-drive-20003058\mapbox_satellite_contact_sheet.jpg
Columbia Valley,10671043,4690 NORTH Street,blocked_arcgis_no_imagery,50.4663123,-115.98905013,9,data\alternate_contact_sheets\mapbox\columbia-valley\4690-north-street-10671043\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20070160,530 Trail Street,blocked_arcgis_no_imagery,49.69037943,-115.98254682,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\530-trail-street-20070160\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10673062,6853 ROSEN LAKE E Road,blocked_arcgis_no_imagery,49.39397556,-115.25562759,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\6853-rosen-lake-e-road-10673062\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10679813,701 34TH S Avenue,blocked_arcgis_no_imagery,49.50164769,-115.73385134,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\701-34th-s-avenue-10679813\mapbox_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10693834,821 6TH Avenue,blocked_arcgis_no_imagery,49.7011709,-115.98820795,9,data\alternate_contact_sheets\mapbox\cranbrook-kimberley\821-6th-avenue-10693834\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,20022908,842 8TH Avenue,blocked_arcgis_no_imagery,49.50874718,-115.06534974,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\842-8th-avenue-20022908\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10667796,9 PINE Avenue,blocked_arcgis_no_imagery,49.49658341,-115.06405254,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\9-pine-avenue-10667796\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10666059,992 8TH Avenue,blocked_arcgis_no_imagery,49.50988463,-115.06432056,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\992-8th-avenue-10666059\mapbox_satellite_contact_sheet.jpg
Fernie/Sparwood,10681651,1 MT PROCTOR Avenue,blocked_arcgis_no_imagery,49.49530913,-115.07385118,9,data\alternate_contact_sheets\mapbox\fernie-sparwood\1-mt-proctor-avenue-10681651\mapbox_satellite_contact_sheet.jpg
