source_label,listing_id,address,recommended_source,latitude,longitude,bing_tile_count,bing_contact_sheet
Fernie/Sparwood,10676027,29 RIDGEMONT Drive,blocked_arcgis_no_imagery,49.50310644,-115.05460562,9,data\alternate_contact_sheets\bing\fernie-sparwood\29-ridgemont-drive-10676027\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20073830,311 302nd Avenue,blocked_arcgis_no_imagery,49.63729303,-115.96292915,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\311-302nd-avenue-20073830\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20022685,405 7TH Avenue,blocked_arcgis_no_imagery,49.69351588,-115.9851582,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\405-7th-avenue-20022685\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20003058,4315 LAKEVIEW Drive,blocked_arcgis_no_imagery,49.48370376,-115.84817827,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\4315-lakeview-drive-20003058\bing_aerial_contact_sheet.jpg
Columbia Valley,10671043,4690 NORTH Street,blocked_arcgis_no_imagery,50.4663123,-115.98905013,9,data\alternate_contact_sheets\bing\columbia-valley\4690-north-street-10671043\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20070160,530 Trail Street,blocked_arcgis_no_imagery,49.69037943,-115.98254682,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\530-trail-street-20070160\bing_aerial_contact_sheet.jpg
Columbia Valley,10672111,2577 SANDSTONE Circle,blocked_arcgis_no_imagery,50.47914710,-116.04140250,9,data\alternate_contact_sheets\bing\columbia-valley\2577-sandstone-circle-10672111\bing_aerial_contact_sheet.jpg
Columbia Valley,10607338,4764 TIMBER RIDGE Road,blocked_arcgis_no_imagery,50.49162910,-115.99699200,9,data\alternate_contact_sheets\bing\columbia-valley\4764-timber-ridge-road-10607338\bing_aerial_contact_sheet.jpg
Columbia Valley,10629099,4815 HOLLAND CREEK RIDGE Road,blocked_arcgis_no_imagery,50.49706570,-116.00270150,9,data\alternate_contact_sheets\bing\columbia-valley\4815-holland-creek-ridge-road-10629099\bing_aerial_contact_sheet.jpg
Columbia Valley,10604265,4827 HOLLAND Crescent,blocked_arcgis_no_imagery,50.49725211,-116.00174982,9,data\alternate_contact_sheets\bing\columbia-valley\4827-holland-crescent-10604265\bing_aerial_contact_sheet.jpg
Columbia Valley,10587559,4905 LAKEVIEW MEADOWS Close,blocked_arcgis_no_imagery,50.49916860,-115.99691450,9,data\alternate_contact_sheets\bing\columbia-valley\4905-lakeview-meadows-close-10587559\bing_aerial_contact_sheet.jpg
Columbia Valley,10588693,885 COPPERVIEW Close,blocked_arcgis_no_imagery,50.49996270,-115.99623070,9,data\alternate_contact_sheets\bing\columbia-valley\885-copperview-close-10588693\bing_aerial_contact_sheet.jpg
Columbia Valley,10613313,964 LAKEVIEW MEADOWS GLEN,blocked_arcgis_no_imagery,50.49839430,-115.99778400,9,data\alternate_contact_sheets\bing\columbia-valley\964-lakeview-meadows-glen-10613313\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,10606465,#37-6674 WARDNER-KIKOMUN Road,blocked_arcgis_no_imagery,49.40501699,-115.41910697,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\37-6674-wardner-kikomun-road-10606465\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,10672843,150 SULLIVAN Drive,blocked_arcgis_no_imagery,49.69825590,-115.99463098,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\150-sullivan-drive-10672843\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,10626846,18-6674 WARDNER-KIKOMUM Road,blocked_arcgis_no_imagery,49.40501699,-115.41910697,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\18-6674-wardner-kikomum-road-10626846\bing_aerial_contact_sheet.jpg
Columbia Valley,10659027,4642 ROWAN Street,blocked_arcgis_no_imagery,50.45787041,-115.98951291,9,data\alternate_contact_sheets\bing\columbia-valley\4642-rowan-street-10659027\bing_aerial_contact_sheet.jpg
Columbia Valley,10680493,4958 MERLO Road,blocked_arcgis_no_imagery,50.49439359,-115.99150839,9,data\alternate_contact_sheets\bing\columbia-valley\4958-merlo-road-10680493\bing_aerial_contact_sheet.jpg
Columbia Valley,10623245,5160 RIVERSIDE Drive,blocked_arcgis_no_imagery,50.32604189,-115.86950191,9,data\alternate_contact_sheets\bing\columbia-valley\5160-riverside-drive-10623245\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,10678423,9905 OSPREY LANDING Drive,blocked_arcgis_no_imagery,49.40940530,-115.42327562,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\9905-osprey-landing-drive-10678423\bing_aerial_contact_sheet.jpg
Fernie/Sparwood,10561093,5401 BOOMERANG Way,blocked_arcgis_no_imagery,49.46657381,-115.08280632,9,data\alternate_contact_sheets\bing\fernie-sparwood\5401-boomerang-way-10561093\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20083862,15 Turner Close,blocked_arcgis_no_imagery,49.63407721,-115.95756155,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\15-turner-close-20083862\bing_aerial_contact_sheet.jpg
Fernie/Sparwood,10629259,15 ALPINE TRAILS Crescent,blocked_arcgis_no_imagery,49.523505,-115.069434,9,data\alternate_contact_sheets\bing\fernie-sparwood\15-alpine-trails-crescent-10629259\bing_aerial_contact_sheet.jpg
