source_label,properties,arcgis_real_tile_properties,arcgis_placeholder_only_properties,geocode_fallback_needed,mls_thumbnails,mls_proxy_candidates,mls_proxy_candidate_listings,recommended_sources_json
Columbia Valley,100,0,100,0,2434,2165,100,"{""bing_overhead_house_backyard_candidate"": 7, ""google_overhead_house_backyard_candidate"": 45, ""mapbox_overhead_house_backyard_candidate"": 1, ""mls_drone_or_aerial_candidate"": 21, ""mls_ground_backyard_context_only"": 2, ""possible_bing_overhead_needs_verify"": 4, ""possible_google_overhead_needs_verify"": 11, ""possible_mls_elevated_candidate_needs_verify"": 9}"
Cranbrook/Kimberley,100,4,96,0,2629,2302,99,"{""arcgis_overhead_house_backyard_candidate"": 3, ""bing_overhead_house_backyard_candidate"": 4, ""google_overhead_house_backyard_candidate"": 66, ""mapbox_overhead_house_backyard_candidate"": 1, ""mls_drone_or_aerial_candidate"": 15, ""no_usable_aerial_candidate_after_full_review"": 1, ""possible_bing_overhead_needs_verify"": 3, ""possible_mls_elevated_candidate_needs_verify"": 7}"
Fernie/Sparwood,100,23,77,0,2404,2136,100,"{""arcgis_overhead_house_backyard_candidate"": 7, ""bing_overhead_house_backyard_candidate"": 4, ""google_overhead_house_backyard_candidate"": 63, ""mapbox_overhead_house_backyard_candidate"": 1, ""mls_drone_or_aerial_candidate"": 13, ""mls_ground_backyard_context_only"": 2, ""no_usable_aerial_candidate_after_full_review"": 1, ""possible_google_overhead_needs_verify"": 7, ""possible_mls_elevated_candidate_needs_verify"": 2}"
